"timestamp","ward","div","time_of_day","obs","vote_method"
"11/5/2019 13:58:00",21,"27",13:48:00,115,"in person"
"11/5/2019 10:34:00",19,"14",10:24:00,19,"by mail"
"11/5/2019 13:14:00",66,"23",13:04:00,76,"in person"
"11/5/2019 13:45:00",48,"20",13:35:00,67,"in person"
"11/5/2019 8:23:00",11,"14",08:13:00,18,"by mail"
"11/5/2019 11:04:00",39,"30",10:54:00,62,"in person"
"11/5/2019 7:23:00",52,"24",07:13:00,4,"in person"
"11/5/2019 13:38:00",34,"17",13:28:00,86,"by mail"
"11/5/2019 11:52:00",15,"02",11:42:00,122,"in person"
"11/5/2019 11:01:00",36,"32",10:51:00,58,"in person"
"11/5/2019 7:11:00",35,"18",07:01:00,1,"by mail"
"11/5/2019 7:29:00",37,"04",07:19:00,2,"in person"
"11/5/2019 11:21:00",81,"14",11:11:00,53,"in person"
"11/5/2019 10:55:00",38,"14",10:45:00,41,"by mail"
"11/5/2019 12:20:00",60,"20",12:10:00,79,"in person"
"11/5/2019 7:56:00",50,"01",07:46:00,11,"in person"
"11/5/2019 8:10:00",55,"11",08:00:00,10,"by mail"
"11/5/2019 8:46:00",13,"15",08:36:00,25,"in person"
"11/5/2019 11:03:00",45,"08",10:53:00,33,"in person"
"11/5/2019 7:12:00",22,"06",07:02:00,3,"by mail"
"11/5/2019 11:52:00",30,"09",11:42:00,79,"in person"
"11/5/2019 10:53:00",65,"07",10:43:00,103,"in person"
"11/5/2019 10:28:00",43,"12",10:18:00,38,"by mail"
"11/5/2019 7:30:00",34,"11",07:20:00,3,"in person"
"11/5/2019 12:47:00",62,"13",12:37:00,65,"in person"
"11/5/2019 12:00:00",24,"11",11:50:00,47,"by mail"
"11/5/2019 10:50:00",66,"08",10:40:00,103,"in person"
"11/5/2019 12:46:00",56,"04",12:36:00,46,"in person"
"11/5/2019 13:33:00",50,"06",13:23:00,118,"by mail"
"11/5/2019 7:34:00",42,"02",07:24:00,3,"in person"
"11/5/2019 11:44:00",22,"29",11:34:00,113,"in person"
"11/5/2019 9:46:00",60,"16",09:36:00,62,"by mail"
"11/5/2019 7:37:00",49,"09",07:27:00,9,"in person"
"11/5/2019 11:25:00",34,"14",11:15:00,95,"in person"
"11/5/2019 14:33:00",20,"02",14:23:00,64,"by mail"
"11/5/2019 9:37:00",32,"01",09:27:00,29,"in person"
"11/5/2019 12:07:00",83,"31",11:57:00,65,"in person"
"11/5/2019 14:04:00",38,"10",13:54:00,90,"by mail"
"11/5/2019 14:25:00",66,"08",14:15:00,179,"in person"
"11/5/2019 12:45:00",81,"14",12:35:00,58,"in person"
"11/5/2019 14:05:00",21,"10",13:55:00,74,"by mail"
"11/5/2019 11:10:00",23,"11",11:00:00,47,"in person"
"11/5/2019 13:23:00",40,"07",13:13:00,102,"in person"
"11/5/2019 14:37:00",13,"08",14:27:00,89,"by mail"
"11/5/2019 12:39:00",28,"18",12:29:00,61,"in person"
"11/5/2019 14:45:00",56,"28",14:35:00,100,"in person"
"11/5/2019 12:22:00",66,"31",12:12:00,56,"by mail"
"11/5/2019 11:58:00",39,"26",11:48:00,44,"in person"
"11/5/2019 7:59:00",41,"04",07:49:00,9,"in person"
"11/5/2019 8:26:00",39,"03",08:16:00,24,"by mail"
"11/5/2019 8:25:00",55,"15",08:15:00,16,"in person"
"11/5/2019 9:07:00",62,"21",08:57:00,20,"in person"
"11/5/2019 14:55:00",50,"06",14:45:00,195,"by mail"
"11/5/2019 12:43:00",51,"14",12:33:00,74,"in person"
"11/5/2019 8:48:00",57,"06",08:38:00,47,"in person"
"11/5/2019 13:58:00",35,"07",13:48:00,169,"by mail"
"11/5/2019 9:59:00",30,"07",09:49:00,85,"in person"
"11/5/2019 11:46:00",36,"01",11:36:00,49,"in person"
"11/5/2019 8:17:00",34,"18",08:07:00,19,"by mail"
"11/5/2019 11:00:00",39,"21",10:50:00,97,"in person"
"11/5/2019 14:58:00",19,"04",14:48:00,63,"in person"
"11/5/2019 7:39:00",22,"10",07:29:00,4,"by mail"
"11/5/2019 8:05:00",36,"02",07:55:00,10,"in person"
"11/5/2019 9:58:00",62,"04",09:48:00,49,"in person"
"11/5/2019 14:19:00",13,"01",14:09:00,170,"by mail"
"11/5/2019 9:02:00",46,"19",08:52:00,76,"in person"
"11/5/2019 13:59:00",41,"11",13:49:00,109,"in person"
"11/5/2019 9:05:00",50,"01",08:55:00,33,"by mail"
"11/5/2019 14:22:00",54,"17",14:12:00,57,"in person"
"11/5/2019 13:42:00",25,"13",13:32:00,40,"in person"
"11/5/2019 13:27:00",41,"14",13:17:00,82,"by mail"
"11/5/2019 14:23:00",57,"02",14:13:00,148,"in person"
"11/5/2019 12:39:00",25,"21",12:29:00,23,"in person"
"11/5/2019 12:05:00",11,"11",11:55:00,61,"by mail"
"11/5/2019 9:35:00",64,"06",09:25:00,63,"in person"
"11/5/2019 10:14:00",58,"23",10:04:00,80,"in person"
"11/5/2019 7:42:00",46,"15",07:32:00,5,"by mail"
"11/5/2019 14:26:00",61,"27",14:16:00,128,"in person"
"11/5/2019 14:53:00",42,"03",14:43:00,96,"in person"
"11/5/2019 11:46:00",63,"16",11:36:00,71,"by mail"
"11/5/2019 12:50:00",47,"01",12:40:00,54,"in person"
"11/5/2019 10:03:00",40,"09",09:53:00,65,"in person"
"11/5/2019 10:12:00",56,"11",10:02:00,43,"by mail"
"11/5/2019 7:38:00",35,"25",07:28:00,3,"in person"
"11/5/2019 9:59:00",23,"06",09:49:00,38,"in person"
"11/5/2019 9:52:00",21,"11",09:42:00,52,"by mail"
"11/5/2019 12:35:00",30,"07",12:25:00,99,"in person"
"11/5/2019 14:38:00",32,"09",14:28:00,90,"in person"
"11/5/2019 7:19:00",44,"19",07:09:00,2,"by mail"
"11/5/2019 13:07:00",53,"15",12:57:00,73,"in person"
"11/5/2019 14:46:00",66,"36",14:36:00,184,"in person"
"11/5/2019 7:35:00",65,"22",07:25:00,3,"by mail"
"11/5/2019 11:12:00",56,"25",11:02:00,73,"in person"
"11/5/2019 11:28:00",31,"14",11:18:00,77,"in person"
"11/5/2019 8:30:00",35,"14",08:20:00,14,"by mail"
"11/5/2019 9:10:00",34,"38",09:00:00,36,"in person"
"11/5/2019 7:48:00",46,"10",07:38:00,8,"in person"
"11/5/2019 13:20:00",41,"14",13:10:00,67,"by mail"
"11/5/2019 11:19:00",62,"23",11:09:00,48,"in person"
"11/5/2019 9:08:00",37,"16",08:58:00,25,"in person"
"11/5/2019 10:05:00",61,"17",09:55:00,61,"by mail"
"11/5/2019 7:58:00",21,"14",07:48:00,14,"in person"
"11/5/2019 10:24:00",51,"28",10:14:00,92,"in person"
"11/5/2019 8:22:00",50,"07",08:12:00,32,"by mail"
"11/5/2019 7:54:00",29,"16",07:44:00,6,"in person"
"11/5/2019 12:51:00",24,"07",12:41:00,61,"in person"
"11/5/2019 10:04:00",40,"26",09:54:00,26,"by mail"
"11/5/2019 10:52:00",24,"05",10:42:00,41,"in person"
"11/5/2019 10:33:00",45,"06",10:23:00,57,"in person"
"11/5/2019 8:25:00",22,"01",08:15:00,39,"by mail"
"11/5/2019 9:01:00",65,"10",08:51:00,43,"in person"
"11/5/2019 13:33:00",55,"19",13:23:00,94,"in person"
"11/5/2019 11:17:00",70,"06",11:07:00,49,"by mail"
"11/5/2019 7:37:00",46,"18",07:27:00,4,"in person"
"11/5/2019 14:58:00",40,"03",14:48:00,164,"in person"
"11/5/2019 13:10:00",65,"02",13:00:00,89,"by mail"
"11/5/2019 13:17:00",29,"17",13:07:00,68,"in person"
"11/5/2019 8:17:00",12,"12",08:07:00,21,"in person"
"11/5/2019 7:11:00",36,"14",07:01:00,1,"by mail"
"11/5/2019 10:57:00",11,"12",10:47:00,63,"in person"
"11/5/2019 9:35:00",61,"20",09:25:00,57,"in person"
"11/5/2019 9:05:00",42,"21",08:55:00,19,"by mail"
"11/5/2019 11:02:00",37,"12",10:52:00,46,"in person"
"11/5/2019 10:24:00",13,"16",10:14:00,65,"in person"
"11/5/2019 8:47:00",49,"10",08:37:00,43,"by mail"
"11/5/2019 8:21:00",65,"10",08:11:00,20,"in person"
"11/5/2019 10:17:00",50,"13",10:07:00,83,"in person"
"11/5/2019 11:45:00",40,"18",11:35:00,30,"by mail"
"11/5/2019 8:06:00",15,"13",07:56:00,18,"in person"
"11/5/2019 9:21:00",19,"07",09:11:00,51,"in person"
"11/5/2019 10:50:00",54,"10",10:40:00,68,"by mail"
