ward,Precinct,Register Voters,Ballots Cast,Turnout %
1,1,681,500,73.42%
1,2,601,432,71.88%
1,3,798,631,79.07%
1,4,738,569,77.10%
1,5,754,585,77.59%
1,6,708,538,75.99%
1,7,674,491,72.85%
1,8,690,507,73.48%
1,9,716,564,78.77%
1,10,733,565,77.08%
1,11,777,635,81.72%
1,12,819,597,72.89%
1,13,747,527,70.55%
1,14,704,573,81.39%
1,15,659,489,74.20%
1,16,844,615,72.87%
1,17,604,447,74.01%
1,18,691,494,71.49%
1,19,852,611,71.71%
1,20,613,451,73.57%
1,21,803,630,78.46%
1,22,469,309,65.88%
1,23,846,685,80.97%
1,24,685,463,67.59%
1,25,681,481,70.63%
1,26,588,325,55.27%
1,27,732,517,70.63%
1,28,625,473,75.68%
1,29,667,512,76.76%
1,30,726,479,65.98%
1,31,701,507,72.33%
1,32,689,486,70.54%
1,33,764,531,69.50%
1,34,750,549,73.20%
1,35,755,539,71.39%
1,36,704,602,85.51%
1,37,712,548,76.97%
1,38,687,529,77.00%
1,39,679,443,65.24%
1,40,697,526,75.47%
1,Total,"28,363","20,955",73.88%
1,,,,
2,WARD 2,,,
2,Precinct,Register Voters,Ballots Cast,Turnout %
2,1,765,567,74.12%
2,2,593,502,84.65%
2,3,750,636,84.80%
2,4,721,559,77.53%
2,5,791,633,80.03%
2,6,733,568,77.49%
2,7,760,565,74.34%
2,8,806,611,75.81%
2,9,730,606,83.01%
2,10,709,574,80.96%
2,11,613,539,87.93%
2,12,686,579,84.40%
2,13,690,646,93.62%
2,14,731,573,78.39%
2,15,730,556,76.16%
2,16,690,527,76.38%
2,17,826,630,76.27%
2,18,597,511,85.59%
2,19,546,478,87.55%
2,20,749,588,78.50%
2,21,742,573,77.22%
2,22,710,589,82.96%
2,23,569,472,82.95%
2,24,706,552,78.19%
2,25,742,599,80.73%
2,26,740,566,76.49%
2,27,695,590,84.89%
2,28,809,697,86.16%
2,29,778,668,85.86%
2,30,657,549,83.56%
2,31,904,753,83.30%
2,32,622,515,82.80%
2,33,966,884,91.51%
2,34,547,463,84.64%
2,35,793,650,81.97%
2,36,578,491,84.95%
2,37,623,578,92.78%
2,38,694,605,87.18%
2,39,570,430,75.44%
2,40,764,729,95.42%
2,41,749,567,75.70%
2,42,814,713,87.59%
2,43,753,682,90.57%
2,44,439,407,92.71%
2,45,765,647,84.58%
2,46,456,365,80.04%
2,Total,"32,401","26,782",82.66%
2,,,,
3,WARD 3,,,
3,Precinct,Register Voters,Ballots Cast,Turnout %
3,1,868,747,86.06%
3,2,686,640,93.29%
3,3,751,675,89.88%
